fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Suidec1;1648;417;7583;2332;2155;2831
Mycgal1;4144;799;14465;6761;6014;8215
Serend1;3468;659;9645;5198;4726;6162
Rhoto_ATCC26217_1;689;59;1221;1111;971;1332
Spalat1;1279;227;3477;1754;1668;2090
Conpu1;2908;488;8411;4061;3804;4836
Densp1;2751;390;5556;3510;3388;4126
Cercer1;1186;198;2645;1607;1524;2047
Gyrli1;3204;773;11102;4675;4376;5612
Schco_LoeD_1;1202;135;2489;1592;1444;1902
Rusbre1;1451;286;3558;2409;2193;2865
Tilan2;117;117;915;348;290;514
Puctr1;411;247;6986;1307;1037;1736
Jamsp1;261;272;1979;812;703;1440
Tulca1;1383;163;3560;2133;1960;2598
Lopni1;4736;634;10964;5948;5700;7353
Lacvol1;3069;670;8303;5106;4524;6000
Stehi1;2256;337;6467;3443;3176;4074
Lacam2;1898;346;4732;2561;2476;3029
Rhosp1;404;19;1012;971;771;1159
Ricme1;1550;185;3329;1955;1889;2378
Sepsp1;952;125;1974;1392;1324;1748
Rhiso1;1068;86;2482;2939;2858;3443
Schco3;3331;509;7223;4512;4140;5506
Amath1;1603;305;3934;2245;2170;2640
Suihi1;2448;583;7509;3332;3197;3962
Rhisa1;1593;330;4243;2164;2048;2628
Cytmel1;1324;259;4755;1829;1713;2227
Hyabl1;793;461;3531;2078;1776;2514
SerlaS7_9_2;1345;433;14177;2358;1951;3008
Croqu1;294;403;7599;1419;996;1827
Thega1;1033;197;2580;1579;1470;1898
Lepnud1;1853;408;5129;2507;2419;2956
Crafun1;3029;467;7527;4081;3925;4796
Walse1;418;515;2527;641;627;886
Mellp2_3;792;609;17539;2705;2071;3481
Porchr1;2008;362;5664;2849;2673;3404
Xenvag1;1770;304;4518;2586;2440;3131
Malsy1_1;4;160;753;196;38;382
Melli1;405;292;12494;1117;840;1565
Suipic1;2305;625;9259;3304;3059;3969
Dicsqu464_1;1770;293;4027;2496;2305;2996
Abobie1;1791;356;5065;2366;2275;2775
Sisbr1;2472;327;5299;3251;3107;3865
Lacsub1;2074;430;5352;3177;2955;3791
Exova1;224;400;2781;707;622;1107
Gymlu1;2756;584;7441;3775;3650;4493
Cyastr2;3779;966;12010;5526;5089;6469
Cryne_JEC21_1;1562;318;4508;2167;1957;2676
Ricfib1;4954;822;14357;7449;6816;8941
Spoli1;204;316;1214;3986;1393;4740
Rhobut1_1;3113;811;10762;4531;4134;5448
Psehu1;8;92;784;123;37;397
Gansp1;2770;392;7458;4065;3773;4853
Xerba1;2039;402;4111;2866;2750;3389
Mrafri1;475;87;1516;1591;1102;1823
Glocon1;1817;254;3530;2448;2346;2901
Laesu1;1607;229;4133;2204;2102;2630
CerAGI;2492;370;5506;3200;3043;3739
Ptegra1;2398;263;5045;3107;3000;3647
Antsi1;1142;194;2828;1565;1489;1862
Panst_LUM_1_1;3479;643;7550;6094;5422;7099
Corgl3;2329;504;6259;3089;2977;3665
Pycco1662_1;1169;144;2717;1588;1489;1890
Rigmic1;1352;317;5606;2264;1994;2671
Rusvin1;3144;769;8908;5492;4718;6557
Leugo1_1;6;0;327;2555;2338;301
Pucst_PST78_1;350;335;6021;1340;976;1844
Trace1;2240;429;5527;2870;2760;3459
Marfi1;2118;406;5122;2777;2699;3277
Chicu1;2435;334;4211;3829;3768;4566
Oudmuc1;3175;594;7037;4457;4221;5256
Mutel1;4539;913;12052;6541;6311;7656
Ustma2_2;12;244;2131;169;77;607
Muloch1;1715;447;4528;2857;2578;3355
Psicub1_1;1512;175;4317;2059;1917;2414
Trave1;3657;361;8653;4760;4518;5682
Suiame1;2061;481;6218;2856;2692;3436
Trima3;3162;1053;31091;4932;4498;6386
Armga1;5743;1177;17879;7692;7302;9248
Hydpi2;1931;252;4620;2565;2460;3059
Trapol1;3306;349;7004;4396;4158;5212
Conol1;1574;268;4078;2178;2051;2597
Walic1;341;177;1725;471;453;676
RhodotJ31_1;484;64;1125;986;868;1195
Polar1;1559;181;3385;2057;1945;2451
Irplac1;1931;476;6648;2863;2565;3430
Vuicom1;2017;298;5434;2858;2603;3560
Dicsq1;2212;323;5558;3170;2953;3759
Phlcen1;935;187;3321;1195;1106;1526
Crycu1;394;526;4054;2963;1017;4071
Amamu1;4144;884;9827;6057;5829;7275
Pornie1_2;1945;417;5277;2924;2684;3443
Gymch1;1737;274;4046;2350;2247;2772
Cligib1;2281;438;5604;3449;3179;4024
Lenedo1;1572;364;4938;2213;2108;2648
Hymrad1;3344;590;7209;4667;4376;5534
Boled1;2783;518;5989;3941;3801;4731
