fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Mutel1;1632;237;3236;6541;6311;4088
Phohig1;1745;256;3761;8289;7320;4243
Hydru2;803;176;2648;2386;2034;2856
Pucgr2;232;183;3759;2735;1948;2504
Leumo1;912;142;1904;1662;1620;1977
Myccro1;1754;245;5176;3431;3018;4211
Clibor1;1250;224;3284;2539;2242;2958
Lacam2;1423;236;2919;2561;2476;3029
Acain1;705;262;2589;1894;1759;2808
Copmar1;1954;203;3594;3342;3254;3927
Glocon1;1408;181;2635;2448;2346;2901
Muloch1;1206;294;2788;2857;2578;3355
Melli1;296;170;5475;1117;840;1565
Onnsc1;782;172;1803;1622;1524;1940
Galma1;2139;309;4481;3961;3802;4760
Trace1;1766;296;3875;2870;2760;3459
Rhiso1;1116;104;2254;2939;2858;3443
Mycfil1;3924;482;8750;7266;6700;8623
Panst_LUM_1_1;2747;424;5508;6094;5422;7099
Fomme1;1589;344;9156;3664;3289;4412
Lenlat1;1144;178;2584;2079;2011;2431
Mycbel1;1833;211;3754;3472;3326;4072
Copmic2;2194;345;5000;4053;3662;4958
Phchr2;2049;289;4339;3236;3109;3911
Hydpi2;1438;171;3010;2565;2460;3059
Suiame1;1529;250;3688;2856;2692;3436
Pornie1_2;1361;255;3261;2924;2684;3443
Sclci1;898;238;2722;1926;1796;2466
Ompol1;941;92;2319;1689;1548;1954
Conol1;1153;182;2677;2178;2051;2597
Guyne1;1357;252;3349;2463;2373;2904
Ustma2_2;12;232;1573;169;77;607
Neole1;1036;129;2005;1903;1846;2249
Tramey1;2665;354;6118;4932;4618;5838
Melap1finSC_191;0;301;11936;0;0;3521
Phaca1;2404;556;6905;4228;3965;5119
Agrped1;1581;178;3010;2815;2726;3300
Corgl3;1601;242;3311;3089;2977;3665
Hebcy2;1971;302;3992;3714;3503;4473
Triol1;86;95;755;700;226;954
Obbri1;1168;141;2214;1954;1903;2304
Gymear1;1392;325;5785;2874;2558;3540
Dicsqu463_1;955;141;2120;1851;1693;2210
Lacvol1;2275;480;5315;5106;4524;6000
Tilwa1;432;36;853;709;611;899
Pycpun1;1594;243;3494;3005;2844;3590
Lacqui1;1927;351;5506;3946;3544;4730
Dicsq1;1713;253;4122;3170;2953;3759
Trabet1;1039;161;2692;1819;1674;2234
Amamu1;1446;259;3176;6057;5829;3598
Rusvin1;1045;228;2540;5492;4718;2914
Elmca1;1618;232;3306;5498;5292;3378
Sclhys1_1;1359;213;5996;2762;2615;3312
Cananz1;1128;273;4624;2624;2383;3256
Mycreb1;3796;614;9793;7977;7153;9558
Gyrli1;1140;194;2616;4675;4376;2742
Gyman1;2702;396;5816;5125;4695;6041
Pilcr1;1190;282;3295;2382;2214;3014
Pyccin1;1261;198;3142;2307;2151;2757
Thacu1;2128;326;4840;6843;6483;4398
Spalat1;970;167;2308;1754;1668;2090
Phocon1;991;140;2114;1743;1663;2073
Copci_AmutBmut1;1180;136;2178;2021;1900;2394
Mycvit1;1510;270;4242;3023;2630;3703
Suisu1;1873;319;4533;3491;3248;4110
Croqu1;173;183;3062;1419;996;1827
Lenrap1;775;140;2621;1534;1389;1873
Schpa1;1370;129;2632;2365;2296;2766
Antser1;2234;413;5097;4534;3939;5302
Rhoglu1;832;85;1437;1440;1265;1713
Lacsub1;1545;292;3536;3177;2955;3791
Mrafri1;344;69;1175;1591;1102;1823
Vuicom1;1645;211;3929;2858;2603;3560
Crywi1;431;46;1053;977;909;1170
Hydfim1;1640;340;4261;2981;2776;3576
Amylap1_1;1370;216;2693;2356;2239;2724
PosplRSB12_1;2130;304;5630;4240;3649;4989
Mycflo1;1944;350;6122;4034;3604;4842
Amycha1;1169;125;2201;4564;4312;2202
Spopa1;448;100;1231;1124;1018;1340
Hymrad1;2612;417;5107;4667;4376;5534
Psehu1;6;101;605;123;37;397
Schco_TatD_1;1104;136;2185;1757;1623;2104
Plicr1;2813;353;5878;4576;4402;5465
Agahy1;1042;106;1999;1927;1881;2284
Phefer1;1250;249;3107;2815;2544;3288
Pirin1;682;81;1365;1269;1217;1506
Spoli1;159;220;1456;3986;1393;4740
Rusbre1;1066;187;2342;2409;2193;2865
Eryha1;1161;155;2750;4038;3888;3012
Leisp1;940;131;1988;1649;1543;1964
Tragib1;907;160;2226;1727;1583;2081
Laesu1;1248;196;2799;2204;2102;2630
Jamsp1;155;221;1396;812;703;1440
SerlaS7_9_2;973;233;5878;2358;1951;3008
Rhoto_IFO0880_2;1421;58;2500;2416;2121;2842
Rhoto1;909;34;1601;1551;1385;1826
Ptegra1;1967;184;3643;3107;3000;3647
Puctr1;226;119;2828;1307;1037;1736
Pycco1;929;145;2058;1588;1495;1895
Sebvebe1;971;174;2373;2016;1833;2437
Mycros1;1918;313;5647;3983;3465;4810
Pleery1;1369;210;2888;2461;2365;2914
Densp1;2184;255;4118;3510;3388;4126
Myc59_1;2423;461;7965;5168;4501;6291
Hexnit1;2767;394;6564;4813;4416;5793
Tralac1;1707;213;4211;2988;2791;3567
Ricmel1;1758;207;3596;3291;3196;3949
Micvi1;201;77;981;2135;1623;1452
Anobom1;1058;183;2395;2121;2018;2494
Psean1_1;35;137;755;266;134;687
Armme1_1;1571;149;3600;4953;4618;3209
Pycci1;869;95;2167;1486;1356;1766
Trapol1;2599;271;5368;4396;4158;5212
Rhoba1_1;831;50;1755;1948;1620;2351
Pucst_PST78_1;223;131;2459;1340;976;1844
Mycami1;3166;495;7091;6422;5851;7673
Tulca1;957;120;2174;2133;1960;2598
Pucst1;182;125;2063;1486;951;1849
Fibsp1;1638;260;4580;2868;2635;3546
Monpe1_1;188;30;677;469;416;632
Cylto1;947;119;1844;1540;1523;1871
Pipbet1_1;999;170;2488;1697;1602;2012
Abobi1;2591;381;6013;4578;4271;5342
Rigmic1;976;184;3080;2264;1994;2671
Dicsqu18370_1;1695;258;3675;3079;2876;3694
Mychae1;1843;265;3455;3663;3484;4291
Suigr1;1302;213;2793;2284;2203;2733
Pycco1662_1;918;123;1977;1588;1489;1890
Melen1;25;181;930;466;243;739
Cysmur1;2514;316;5088;4404;4155;5265
Fompi3;1254;163;3359;2113;1986;2551
Plucer1;1642;213;2984;2825;2754;3279
Mycale1;3027;362;6308;13906;13164;6594
Suicot1;2415;446;6267;8038;7506;5439
Antsi1;833;130;1858;1565;1489;1862
Spore1;23;123;781;168;105;614
Sepsp1;688;93;1421;1392;1324;1748
Varmin1;694;97;1663;1364;1228;1630
Rhoto_ATCC26217_1;620;57;1130;1111;971;1332
Earsca1;2315;385;6723;4192;3798;5091
Cryne_JEC21_1;1125;183;2657;2167;1957;2676
Gymch1;1256;171;2606;2350;2247;2772
Naose1;631;255;1887;2636;2602;3167
Ustsp1;1;51;605;364;64;537
CerAGI;1885;232;3576;3200;3043;3739
Rhisa1;1199;211;2720;2164;2048;2628
Tulcal1;1809;277;5283;4249;3852;5131
Aurvu1;1587;210;2818;2532;2427;2989
Bjead1_1;2117;260;4385;3190;3089;3864
Cytmel1;989;191;2976;1829;1713;2227
Walse1;300;197;1153;641;627;886
Traci1;1433;198;2950;2475;2368;2946
Lenedo1;1153;209;2854;2213;2108;2648
Artele1122_1;1703;245;3688;3025;2821;3623
Pheign1_1;1670;284;3845;3283;3093;3855
Serla_varsha1;959;119;2456;1993;1826;2366
Monili2;145;120;720;260;216;522
Rhoto_IFO0559_1;1145;59;2024;1960;1750;2307
Calvi1;615;110;1238;989;946;1246
Gymjun1;1904;320;3848;3904;3632;4580
Psicub1_1;1049;117;2398;2059;1917;2414
Serend1;2482;391;5869;5198;4726;6162
Chiap1;750;109;1391;1440;1368;1757
Tilan2;69;75;608;348;290;514
Dacsp1;790;119;2058;1368;1306;1740
Triab1_1;1067;146;2475;1947;1861;2304
Cercer1;893;146;1947;1607;1524;2047
Rhomuc1;449;60;1135;1285;1092;1538
Copscl1;784;99;1632;1367;1310;1654
Rhodsp1;67;211;1104;662;470;1090
Tescy1;1;345;1948;457;128;1168
Conpu1;2242;336;5594;4061;3804;4836
Fomros1;1514;186;3364;2475;2350;2924
Tralj1;1391;171;2731;2326;2237;2778
Chicu1;2081;216;3288;3829;3768;4566
Exigl1;2329;261;4610;3615;3450;4394
Gansp1;2168;293;5386;4065;3773;4853
Lycper1;1741;322;3871;3806;3381;4451
Rusdis1;1416;217;3192;2901;2741;3453
Ricme1;1192;152;2481;1955;1889;2378
Cersp1;130;101;1140;728;571;957
Ricfib1;2124;317;5017;7449;6816;5161
Phlcen1;696;134;2131;1195;1106;1526
Walic1;239;103;964;471;453;676
Meimi1;180;717;3435;688;497;1776
Mycalb1;4353;563;10007;8352;7710;9968
Irplac1;1508;329;4371;2863;2565;3430
Trave1;3019;308;6736;4760;4518;5682
Rhomi1;1266;242;4105;3649;3146;4394
Xerba1;1573;284;2950;2866;2750;3389
Sebve1;1074;137;2122;1899;1823;2321
Trapub1;1002;116;2477;1521;1428;1875
Paxru2;1056;223;3200;2204;2043;2695
Scysp1_1;1234;223;3204;2435;2252;2910
Daequ1;786;135;1749;1283;1241;1570
Calco1;666;116;1530;1143;1041;1466
Suibr2;1254;224;3318;2319;2190;2820
Hetpy1;547;171;1714;1912;1648;2276
Felpe1;2130;325;5385;4210;3765;5037
Mycrub1;3283;499;10312;6355;5805;7720
